sample,time,code,chan,trialIdx,trialRawTmin.sample,trialRawTmin.time,trialRawT0.sample,trialRawT0.time,trialRawTmax.sample,trialRawTmax.time
1331,0.9990234375,1,-1,19,353486,345.201171875,353794,345.501953125,367106,358.501953125
8501,8.0009765625,115,-1,19,353486,345.201171875,353794,345.501953125,367106,358.501953125
9188,8.671875,350,1,19,353486,345.201171875,353794,345.501953125,367106,358.501953125
9428,8.90625,103,-1,19,353486,345.201171875,353794,345.501953125,367106,358.501953125
9442,8.919921875,351,1,19,353486,345.201171875,353794,345.501953125,367106,358.501953125
308,0.0,15,-1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
1330,0.998046875,1,-1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
6092,5.6484375,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
6208,5.76171875,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
6290,5.841796875,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
6361,5.9111328125,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
8502,8.001953125,115,-1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
8606,8.103515625,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
8677,8.1728515625,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
8716,8.2109375,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
8793,8.2861328125,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
8825,8.3173828125,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
8840,8.33203125,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
8865,8.3564453125,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
9081,8.5673828125,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
9513,8.9892578125,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
9574,9.048828125,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
9766,9.236328125,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
9862,9.330078125,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
9880,9.34765625,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
9956,9.421875,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
9975,9.4404296875,350,0,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
10014,9.478515625,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
10018,9.482421875,351,0,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
10081,9.5439453125,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
