sample,time,code,chan,trialIdx
1060715,1035.8544921875,16,-1,55
1061739,1036.8544921875,1,-1,55
1068514,1043.470703125,350,1,55
1068572,1043.52734375,351,1,55
1068812,1043.76171875,350,1,55
1068871,1043.8193359375,351,1,55
1068909,1043.8564453125,116,-1,55
1069179,1044.1201171875,350,1,55
1069255,1044.1943359375,351,1,55
1069275,1044.2138671875,350,1,55
1069451,1044.3857421875,350,0,55
1069488,1044.421875,351,0,55
1069525,1044.4580078125,103,-1,55
1069574,1044.505859375,351,1,55
1081957,1056.5986328125,13,-1,56
1082979,1057.5966796875,1,-1,56
1083332,1057.94140625,350,1,56
1083364,1057.97265625,351,1,56
1089891,1064.3466796875,350,0,56
1089996,1064.44921875,351,0,56
1090150,1064.599609375,113,-1,56
1090277,1064.7236328125,350,0,56
1090325,1064.7705078125,351,0,56
1090368,1064.8125,350,0,56
1090420,1064.86328125,351,0,56
1090461,1064.9033203125,350,0,56
1090790,1065.224609375,101,-1,56
1090818,1065.251953125,351,0,56
1103230,1077.373046875,13,-1,57
1104251,1078.3701171875,1,-1,57
1105054,1079.154296875,350,0,57
1105111,1079.2099609375,351,0,57
1105152,1079.25,350,0,57
1105168,1079.265625,351,0,57
1105202,1079.298828125,350,0,57
1105268,1079.36328125,351,0,57
1105458,1079.548828125,350,0,57
1105484,1079.57421875,351,0,57
1105509,1079.5986328125,350,0,57
1105526,1079.615234375,351,0,57
1105632,1079.71875,350,0,57
1105654,1079.740234375,351,0,57
1105699,1079.7841796875,350,0,57
1105776,1079.859375,351,0,57
1105792,1079.875,350,0,57
1105815,1079.8974609375,351,0,57
1105895,1079.9755859375,350,0,57
1105928,1080.0078125,351,0,57
1105981,1080.0595703125,350,0,57
1105999,1080.0771484375,351,0,57
1106023,1080.1005859375,350,0,57
1106046,1080.123046875,351,0,57
1106130,1080.205078125,350,0,57
1106147,1080.2216796875,351,0,57
1106246,1080.318359375,350,0,57
1106262,1080.333984375,351,0,57
1106382,1080.451171875,350,0,57
1106417,1080.4853515625,351,0,57
1106561,1080.6259765625,350,0,57
1106581,1080.6455078125,351,0,57
1106660,1080.72265625,350,0,57
1106721,1080.7822265625,351,0,57
1111422,1085.373046875,113,-1,57
1112174,1086.107421875,350,0,57
1112370,1086.298828125,101,-1,57
1112402,1086.330078125,351,0,57
1124805,1098.4423828125,16,-1,58
1125829,1099.4423828125,1,-1,58
1132999,1106.4443359375,116,-1,58
1133270,1106.708984375,350,1,58
1133323,1106.7607421875,351,1,58
1133523,1106.9560546875,350,1,58
1133587,1107.0185546875,351,1,58
1133631,1107.0615234375,350,1,58
1133709,1107.1376953125,351,1,58
1133728,1107.15625,350,1,58
1133889,1107.3134765625,351,1,58
1133905,1107.3291015625,350,1,58
1134088,1107.5078125,103,-1,58
1134155,1107.5732421875,351,1,58
1146514,1119.642578125,13,-1,59
1146947,1120.0654296875,350,0,59
1146964,1120.08203125,351,0,59
1147011,1120.1279296875,350,0,59
1147093,1120.2080078125,351,0,59
1147537,1120.6416015625,1,-1,59
1148131,1121.2216796875,350,0,59
1148206,1121.294921875,351,0,59
1148547,1121.6279296875,350,0,59
1148606,1121.685546875,351,0,59
1154699,1127.6357421875,350,0,59
1154708,1127.64453125,113,-1,59
1154795,1127.7294921875,351,0,59
1154889,1127.8212890625,350,0,59
1154965,1127.8955078125,351,0,59
1154988,1127.91796875,350,0,59
1155195,1128.1201171875,101,-1,59
1155245,1128.1689453125,351,0,59
1198290,1170.205078125,13,-1,60
1199313,1171.2041015625,1,-1,60
1206484,1178.20703125,113,-1,60
1206883,1178.5966796875,350,0,60
1207071,1178.7802734375,101,-1,60
1207102,1178.810546875,351,0,60
1219508,1190.92578125,13,-1,61
1220532,1191.92578125,1,-1,61
1227703,1198.9287109375,113,-1,61
1228528,1199.734375,350,0,61
1228756,1199.95703125,101,-1,61
1228788,1199.98828125,351,0,61
1241183,1212.0927734375,16,-1,62
1242206,1213.091796875,1,-1,62
1249377,1220.0947265625,116,-1,62
1250592,1221.28125,350,1,62
1250617,1221.3056640625,351,1,62
1250640,1221.328125,350,1,62
1250676,1221.36328125,351,1,62
1250739,1221.4248046875,350,1,62
1250817,1221.5009765625,351,1,62
1250854,1221.537109375,350,1,62
1250903,1221.5849609375,351,1,62
1250916,1221.59765625,350,1,62
1250948,1221.62890625,351,1,62
1250980,1221.66015625,350,1,62
1251118,1221.794921875,103,-1,62
1251150,1221.826171875,351,1,62
1263549,1233.9345703125,13,-1,63
1264572,1234.93359375,1,-1,63
1266419,1236.7373046875,350,0,63
1266495,1236.8115234375,351,0,63
1271519,1241.7177734375,350,0,63
1271575,1241.7724609375,351,0,63
1271610,1241.806640625,350,0,63
1271662,1241.857421875,351,0,63
1271741,1241.9345703125,113,-1,63
1271883,1242.0732421875,350,0,63
1271933,1242.1220703125,351,0,63
1271974,1242.162109375,350,0,63
1272075,1242.2607421875,351,0,63
1272101,1242.2861328125,350,0,63
1272475,1242.6513671875,101,-1,63
1272492,1242.66796875,351,0,63
1284904,1254.7890625,16,-1,64
1285928,1255.7890625,1,-1,64
1293099,1262.7919921875,116,-1,64
1293401,1263.0869140625,350,1,64
1293573,1263.2548828125,103,-1,64
1293592,1263.2734375,351,1,64
1305993,1275.3837890625,13,-1,65
1307016,1276.3828125,1,-1,65
1307832,1277.1796875,350,1,65
1307857,1277.2041015625,351,1,65
1314187,1283.3857421875,113,-1,65
1314639,1283.8271484375,350,0,65
1314680,1283.8671875,351,0,65
1314754,1283.939453125,350,0,65
1314810,1283.994140625,351,0,65
1314840,1284.0234375,350,0,65
1315041,1284.2197265625,101,-1,65
1315043,1284.2216796875,351,0,65
1327475,1296.3623046875,16,-1,66
1328499,1297.3623046875,1,-1,66
1335670,1304.365234375,116,-1,66
1336033,1304.7197265625,350,1,66
1336232,1304.9140625,103,-1,66
1336291,1304.9716796875,351,1,66
1348650,1317.041015625,16,-1,67
1349674,1318.041015625,1,-1,67
1351790,1320.107421875,350,0,67
1351847,1320.1630859375,351,0,67
1352401,1320.7041015625,350,0,67
1352418,1320.720703125,351,0,67
1352543,1320.8427734375,350,1,67
1352623,1320.9208984375,351,1,67
1356845,1325.0439453125,116,-1,67
1357140,1325.33203125,350,0,67
1357197,1325.3876953125,351,0,67
